Title	FRED Chemgauss4 score
C94925989	P148795160	-10.433474
C00454581	P06762094	-10.428404
C39857159	P60478045	-10.427145
C83139589	P129949964	-10.426178
C96141854	P151445700	-10.419979
C36864484	P54786761	-10.417953
C79001101	P123335886	-10.413053
C51123437	P76554058	-10.405703
C90644921	P141781001	-10.404028
C86456117	P135352603	-10.401814
C01596463	P139535506	-10.400890
C86157456	P134917516	-10.391474
C84174532	P131723943	-10.385057
C13466960	P20703256	-10.374505
C97617202	P154726500	-10.367458
C70394015	P108532505	-10.366707
C39065281	P59185761	-10.342471
C05275769	P07801859	-10.342101
C91502398	P143190438	-10.339480
C92292923	P144481736	-10.336764
C91131479	P142561522	-10.334244
C00386377	P06593472	-10.329455
C86456111	P135359542	-10.327065
C90433636	P141417536	-10.321496
C37787742	P56188607	-10.320257
C72408939	P112633960	-10.312181
C94262800	P147740251	-10.311038
C21813873	P32484664	-10.310545
C92306668	P144505057	-10.291743
C33636969	P49840826	-10.289470
C79926186	P124866785	-10.288898
C88999711	P139200393	-10.287043
C45169388	P68083549	-10.283867
L-DOPS	P10000036	-10.275462
C97321337	P154123694	-10.268450
C79002672	P123316451	-10.266991
C79403161	P124075411	-10.264781
C83778409	P131081128	-10.261309
C51995896	P77859556	-10.254063
C84057466	P131528030	-10.253353
C09058745	P13901058	-10.247415
C42443275	P64209734	-10.243963
C83628635	P130811035	-10.242501
C50673182	P75791398	-10.240708
C89197721	P139498389	-10.239505
C54763106	P82433221	-10.236307
C59378145	P90292321	-10.234967
C38536703	P150889820	-10.232265
C45174993	P68086517	-10.231611
C93630036	P146642512	-10.231058
C16735860	P25239542	-10.227597
6C_CG2012	P10000021	-10.225204
C78986123	P123291637	-10.208006
C93751937	P146891062	-10.203455
C22981536	P86762374	-10.202148
C36873883	P54807718	-10.199909
C88037217	P137697158	-10.183526
C45064847	P67934202	-10.179403
C70415977	P108563875	-10.174888
C48977008	P73168995	-10.172343
C88750425	P138824152	-10.162430
C77237642	P120494560	-10.139329
C70521692	P108791441	-10.135553
C63179057	P97024353	-10.125116
C36877036	P120919263	-10.121861
C91496157	P143180366	-10.115526
C88000630	P137646920	-10.107846
C91671276	P143506488	-10.107415
C80262826	P125353148	-10.107273
C87615186	P137068035	-10.101027
C90205859	P141011823	-10.087035
C44265826	P66858087	-10.080201
