Title	FRED Chemgauss4 score
L-Asparagine	P10000024	-7.931997
C01529206	P22833959	-7.908676
C04962298	P07250663	-7.897939
C41058628	P62323748	-7.897792
C40306071	P61188732	-7.887912
C08653312	P88384198	-7.883329
C32444249	P47755223	-7.880157
C03830888	P56794641	-7.878926
C93429035	P146298012	-7.876396
C41118879	P62412466	-7.875400
C63179057	P97024353	-7.873666
C93630036	P146642512	-7.868711
C86276238	P135094255	-7.867970
C42440727	P64190320	-7.865966
C80531866	P125774789	-7.863595
C22936959	P104234106	-7.860179
C94262800	P147740251	-7.855241
C89508612	P139912302	-7.853811
C82988366	P129757104	-7.852555
C16735860	P25239542	-7.851846
C77286850	P120571487	-7.845251
C94718071	P148459693	-7.843276
C12504391	P18375293	-7.835329
C98077085	P155853031	-7.828307
C68634020	P105372851	-7.818264
C48262969	P72208098	-7.810490
C50499210	P75511884	-7.807979
C82468597	P128880427	-7.794514
C87362366	P136701184	-7.793235
C37269428	P55419407	-7.788126
C39113384	P151023224	-7.785948
C61808721	P94689477	-7.757913
C26511060	P39122575	-7.753670
C42040419	P63626314	-7.753052
C49587665	P74065899	-7.752341
C82510254	P128945651	-7.749799
C49184176	P73460942	-7.749094
C97236316	P153968216	-7.748512
C36227544	P53841356	-7.738865
C90654700	P141782913	-7.734418
C45014850	P67846596	-7.715377
C36239306	P53850107	-7.711611
C88750425	P138824152	-7.710784
C63134484	P96941863	-7.708433
C50306591	P75244020	-7.708358
C05725726	P08547959	-7.700211
4C_CG2012	P10000016	-7.693770
C88640746	P138642871	-7.688745
C04403147	P153350511	-7.687995
C87580198	P137000610	-7.687906
C88037185	P137697142	-7.686462
C44170752	P130288104	-7.683061
acivicin	P10000037	-7.678364
C82924737	P129630013	-7.672923
C70419488	P108576612	-7.672664
C85549993	P133918258	-7.647837
C83500168	P130624190	-7.636919
C37487654	P55750519	-7.636505
C95868194	P150889557	-7.634044
C03869939	P56792461	-7.633122
C40304308	P61186967	-7.630218
C41058832	P62326259	-7.627191
C36904451	P54858491	-7.626482
C79095671	P123477401	-7.620722
C86525873	P135471827	-7.620463
C83693137	P130915850	-7.614278
C37052890	P55080318	-7.612648
C91280072	P142762411	-7.607461
C88067457	P137750758	-7.603221
L-Threonine	P10000027	-7.602892
C88489803	P138410747	-7.597442
C84081042	P131595110	-7.590936
C85004499	P133054972	-7.589902
C85544558	P133897552	-7.588808
C71322065	P110268428	-7.587807
C92207445	P144379857	-7.584100
C37821635	P56255392	-7.582640
C87759253	P137266296	-7.579104
C27865868	P41105896	-7.575492
C87440497	P136787961	-7.573287
C87446939	P136794831	-7.562003
C37810574	P56238309	-7.561605
C70061876	P108003290	-7.553513
C87669204	P137137924	-7.551816
C97300902	P154083584	-7.551069
C88142891	P137854538	-7.542642
C83523757	P130642951	-7.540061
C87338650	P136656130	-7.539629
C01532566	P57081967	-7.537712
C42805961	P64708179	-7.536977
C50973521	P76326569	-7.531659
C94297055	P147797732	-7.526978
C70062489	P107994538	-7.519879
cis-3-hydroxyproline	P10000031	-7.517945
C87548480	P136945367	-7.516090
C74189571	P115619256	-7.514220
C90107205	P140837949	-7.511950
C83574842	P130736246	-7.511031
C49689603	P74238009	-7.507519
C72200928	P112162344	-7.504941
C20546222	P30637893	-7.504694
C95869841	P150894217	-7.498905
C90313229	P141186972	-7.494095
C22061976	P32822232	-7.492382
C82583446	P129059853	-7.492377
C72430167	P112678220	-7.488692
C91671276	P143506488	-7.474759
C50242200	P137988432	-7.472874
C87593473	P137019368	-7.471889
C48630888	P72699270	-7.465612
C84143509	P131667660	-7.458304
C50674474	P80478612	-7.449154
C61707657	P94524272	-7.441656
C97229240	P153967145	-7.437745
C86093116	P134836689	-7.437513
C01530418	P120022890	-7.436718
C40229108	P61083142	-7.436674
C19264076	P28486446	-7.433440
C76956266	P120080704	-7.428185
L-Methionine	P10000023	-7.424991
C89646623	P140145016	-7.422292
C70590893	P108886028	-7.422094
C52925068	P79325338	-7.420638
C83274984	P130168707	-7.418465
C70628573	P108955019	-7.417805
C35644384	P52904168	-7.412382
C88037226	P137697175	-7.408908
C94233960	P147687780	-7.405602
C69942987	P107812252	-7.404032
C36877036	P54824324	-7.394492
C16137473	P24436333	-7.388822
C88853175	P138986328	-7.385785
C92996988	P145595040	-7.384780
C87601468	P137040424	-7.384638
C03830678	P56795441	-7.382108
C88999711	P139200393	-7.381705
C88984598	P139179454	-7.379663
C42029852	P63624183	-7.370432
C39343967	P155915743	-7.368022
C41066225	P62330552	-7.363946
C41050702	P62310475	-7.363517
C85275770	P133442969	-7.355651
C96551227	P152575900	-7.343488
C87588443	P137003148	-7.331459
C94230257	P147684548	-7.330244
C05749668	P112644024	-7.328105
C16889838	P25447432	-7.325948
C89832756	P140428014	-7.319738
C92782003	P145256586	-7.318600
C94871779	P148706776	-7.318113
C87344568	P136645691	-7.316430
C87666352	P137137147	-7.314520
C97177845	P153861867	-7.313920
C85249013	P133397388	-7.311651
C42528606	P64324269	-7.310259
C37036752	P55054206	-7.303375
C79783087	P124652744	-7.298332
Penicillamine	P10000034	-7.297384
C87697014	P137174208	-7.296016
C54526408	P82058826	-7.292673
C82583507	P129059864	-7.286905
C51818984	P77620782	-7.280447
C53129455	P79683186	-7.271451
C63130397	P96934657	-7.263743
C92988027	P145579086	-7.260426
C54497698	P82017927	-7.257881
C54140268	P81447142	-7.255666
C37820463	P56254837	-7.240985
C35367280	P52475196	-7.237026
C82899427	P129595484	-7.231652
C85247316	P133396585	-7.228917
C71215192	P109951876	-7.228872
C84174532	P131723943	-7.226286
C62362185	P95703184	-7.225224
C93779559	P146920627	-7.224850
C06759849	P10673122	-7.218416
C83272026	P130167815	-7.217129
C16951488	P25522321	-7.203747
C80566884	P125793118	-7.203178
C54154432	P81466114	-7.200391
C95660646	P150432542	-7.197371
C83551924	P130695650	-7.196392
C88474213	P138392897	-7.191359
C78406664	P122332302	-7.190663
C87448699	P136806035	-7.189738
C82915348	P129630587	-7.186494
C87047543	P136261645	-7.184896
C82574931	P129060506	-7.183414
