Title	FRED Chemgauss4 score
Glutamate	-5.484543
C82469324	P128880837	-5.482808
C19260305	P28485389	-5.479537
C21519997	P59373064	-5.478097
C70294142	P108366885	-5.477293
C84991573	P133024479	-5.464339
C76576824	P119452343	-5.462920
C88067871	P137751168	-5.462764
C35329488	P52423136	-5.461879
C44464318	P129259292	-5.454947
C94464663	P148063757	-5.453370
C84328183	P131958380	-5.452248
C82928767	P129631279	-5.448167
C51074732	P76470640	-5.446344
C85374462	P133634517	-5.441829
C08299019	P108959850	-5.436937
C83947884	P131328941	-5.435939
C39050781	P151023628	-5.431872
C70590893	P108886028	-5.430806
C50973521	P76326569	-5.430228
C49351888	P73718031	-5.428996
C36872179	P90374924	-5.428303
C04218922	P10279791	-5.425800
C95869841	P150894217	-5.425645
C39118751	P59262022	-5.425208
C39060929	P59181285	-5.418582
C87971498	P137595737	-5.417650
C25629123	P37871821	-5.413280
C97248644	P154004608	-5.407323
C85189699	P133308478	-5.407286
C82476686	P128888928	-5.404748
C97229240	P153967145	-5.402447
C63065427	P96833789	-5.401948
C39064021	P59184467	-5.398198
C48630813	P72706607	-5.394942
C41058832	P62326259	-5.393171
C77286850	P120571487	-5.386636
C08466527	P151295409	-5.384025
C22061920	P32822128	-5.382138
C42030400	P63621419	-5.382038
C42973221	P64975400	-5.380832
C88061774	P137749499	-5.379781
C85254231	P133394284	-5.379302
C85549993	P133918258	-5.374345
C82987727	P129755431	-5.373302
C20286247	P30221172	-5.372496
C02278807	P06824920	-5.372301
C82410021	P128783110	-5.368708
C84117419	P131645698	-5.367859
C39059147	P59177984	-5.361491
C03672342	P06747335	-5.358307
C82263403	P128500246	-5.358045
C85004499	P133054972	-5.356654
C86400076	P135284226	-5.351116
C42436697	P64186413	-5.349371
C83758292	P131046739	-5.347805
C72408939	P112633960	-5.347397
C70005397	P107943213	-5.347228
C70590896	P108886031	-5.346939
C87588301	P137003099	-5.343522
C22012448	P32767994	-5.342625
C86331608	P135184026	-5.342564
C42029926	P63621323	-5.340828
C37225574	P55350836	-5.340324
C85302973	P133481584	-5.340087
C54435940	P81924864	-5.335689
C17173856	P25815810	-5.333878
C70199674	P108209758	-5.331107
C13510329	P20803174	-5.330931
C28051436	P41316188	-5.329587
C37461511	P55710219	-5.325982
C86434335	P135332703	-5.323112
C70948188	P109520132	-5.320639
C82681682	P129224236	-5.320460
C43596919	P128434399	-5.315331
C95922182	P151021485	-5.309671
C35644384	P52904168	-5.309283
C83467584	P130570487	-5.306820
C04963500	P110855107	-5.301627
C05600631	P89906419	-5.294097
C82055066	P127998912	-5.285905
C82906542	P129602642	-5.283620
C69942987	P107812252	-5.282987
C42029852	P63624183	-5.278279
C44686306	P67425244	-5.276557
C97588393	P154677190	-5.274404
C85353246	P133560523	-5.272995
C87518688	P136898546	-5.267208
C83295839	P130212271	-5.264732
C05975518	P111279700	-5.260477
C02558640	P06221219	-5.258833
C87339114	P136639590	-5.258042
C16951178	P112299492	-5.252942
C82450205	P128859289	-5.252259
C35798415	P53128470	-5.244382
C57315525	P86042858	-5.244266
C88142891	P137854538	-5.239554
C88037185	P137697142	-5.239527
C36872229	P120860510	-5.235326
C77264475	P120544761	-5.232692
C18140548	P112439822	-5.230967
C88474213	P138392897	-5.230725
C00162133	P05572005	-5.229844
C82836280	P129486360	-5.229523
C78724846	P122853911	-5.228813
C98178296	P156128865	-5.228445
C48841183	P72986091	-5.228370
C37468781	P55706687	-5.224324
C86451957	P135357207	-5.221290
C39053465	P59168638	-5.218533
C88037184	P137697140	-5.217808
C87588455	P137001872	-5.213965
C78564008	P122600660	-5.208600
C80262826	P125353148	-5.202807
C91671604	P143506818	-5.199125
C39941433	P60608795	-5.199034
C34264772	P117567526	-5.195505
C53129455	P79683186	-5.193616
C85353307	P133560752	-5.190656
C16951488	P25522321	-5.190165
C02539687	P23071667	-5.188150
C70648394	P108999506	-5.187906
C54138565	P81447022	-5.186683
C67425135	P103549599	-5.182917
C39129103	P151026861	-5.182034
C98245623	P156263510	-5.181601
C49691658	P74238157	-5.178708
C97526444	P154508284	-5.177608
C00895050	P05571510	-5.175763
C82915748	P129631253	-5.169888
C83676414	P130905360	-5.167185
C87047543	P136261645	-5.166030
C84211952	P131773227	-5.160682
C98234770	P156239239	-5.157638
C03881806	P04582166	-5.155137
C82915708	P129631184	-5.151317
C85619734	P134078263	-5.147250
C82510254	P128945651	-5.144907
C56958872	P85524473	-5.143870
C54504056	P82019658	-5.132582
C87395652	P136731630	-5.132373
C94238561	P147683886	-5.126066
C04787862	P06905685	-5.113176
C79002563	P123337484	-5.113012
C51925824	P77777539	-5.110579
C82928769	P129631281	-5.108577
C82995805	P129751681	-5.108465
C88001846	P137647841	-5.103206
C53134864	P79655074	-5.102924
C70911053	P109452755	-5.099324
C86752271	P135821318	-5.089262
C51003953	P128525420	-5.084150
C39118757	P59262028	-5.082862
C43444164	P128429507	-5.079838
C26471307	P39070368	-5.078065
C85254253	P133385080	-5.076994
C82987567	P129755007	-5.076662
C85170154	P133262288	-5.075623
C26511060	P39122575	-5.071817
C04293662	P05643503	-5.071153
C36762383	P54642196	-5.069217
C97761907	P155131893	-5.065039
C95881887	P150922172	-5.064067
C39059111	P59177949	-5.054628
C19519414	P150995912	-5.053337
C97762331	P155116902	-5.052772
C37902477	P56948622	-5.044157
C45108172	P67980203	-5.041735
C44473341	P67172336	-5.038053
C50284112	P75224048	-5.035978
C84386632	P132041144	-5.035516
C85182711	P133271188	-5.031217
C88001018	P137647184	-5.030128
C85170083	P133262211	-5.030049
C43016649	P65067557	-5.025186
C82887367	P129564044	-5.022810
C40750612	P61870376	-5.022645
Aspartate	-5.016778
C42040499	P63626359	-5.009084
C41050725	P62314175	-5.007403
C34321792	P151021124	-5.002297
C85281249	P133458567	-5.001650
C85353299	P133560721	-5.001095
C52815753	P79155819	-4.999554
C78676016	P122779583	-4.999256
C97666462	P154881391	-4.996180
C85654775	P134095763	-4.995277
C22212436	P33050508	-4.991689
C83755710	P131045930	-4.987916
C42528606	P64324269	-4.982461
C83572707	P130735775	-4.978651
C86781265	P135835082	-4.978086
C02508339	P22788107	-4.974227
C39088366	P59222491	-4.973799
C08681527	P57121907	-4.972502
C98178888	P156130704	-4.970119
C36853404	P120837088	-4.967353
C54154432	P81466114	-4.967004
C80996774	P126495927	-4.963496
C19834702	P29491605	-4.962275
C37487654	P55750519	-4.961267
C20470614	P30514351	-4.958654
C34616736	P51361932	-4.954915
C82680771	P129217506	-4.949719
C82987538	P129754919	-4.945963
C17014094	P25603870	-4.939435
C70628890	P108955305	-4.938826
C83747697	P131020663	-4.937119
C39134860	P154331472	-4.935861
C84249743	P131855991	-4.925653
C85353245	P133560517	-4.923773
C49647899	P74165113	-4.922448
C85248400	P133393697	-4.921054
C36946826	P54931962	-4.913317
C85082709	P133149090	-4.912740
C87341085	P136651115	-4.911326
C42450415	P64209324	-4.905936
C82906217	P129602072	-4.902146
C40545286	P61562841	-4.898460
C69638109	P107234400	-4.898122
C39088413	P59218791	-4.889297
C85164882	P133260509	-4.889101
C83812008	P131108696	-4.882439
C39950026	P97167807	-4.876612
C01843030	P156189276	-4.859574
C83574386	P130729171	-4.859155
C61842909	P94744252	-4.857966
C62939634	P96575290	-4.857339
C87688032	P137156844	-4.854827
C45059901	P67910381	-4.850494
C85798005	P134352462	-4.844682
C85184419	P133304798	-4.844035
C86590475	P135571658	-4.838890
C05190256	P07671255	-4.838033
C39064009	P59184455	-4.837105
C63169607	P97020609	-4.836604
C78677402	P122772480	-4.834374
C82838441	P129490404	-4.833394
C70061876	P108003290	-4.826505
C80937149	P126379197	-4.824157
C38433750	P58145099	-4.815989
C54433554	P81923854	-4.813406
C41167148	P62470687	-4.812633
C35202844	P52236352	-4.806544
C74210003	P115654798	-4.804833
C81922581	P127811112	-4.803834
C70295405	P108368128	-4.799337
C20216428	P30109106	-4.798526
C19504393	P28890989	-4.798217
C83918821	P131301165	-4.797963
C56659230	P85110673	-4.790959
C94338501	P147859251	-4.790375
C59086297	P89572875	-4.787122
C38034588	P120930303	-4.786745
C39113384	P151023224	-4.780176
C87588531	P137003168	-4.775851
C40537714	P61555778	-4.770222
C01391262	P05902105	-4.769034
C85253675	P133384185	-4.763708
C39077974	P59214167	-4.759884
C72230870	P112219379	-4.757363
C31992619	P138009253	-4.756310
C40605671	P61647454	-4.755831
C69692471	P107338218	-4.754352
C39060572	P59188184	-4.750794
C04786584	P06903634	-4.748304
C69049229	P106086117	-4.747952
C87777191	P137311341	-4.739430
C95532417	P150161681	-4.736475
C52833943	P79173630	-4.733504
C94992751	P148902415	-4.727636
C85086716	P133135802	-4.724866
C54497644	P82017894	-4.720761
C95630366	P150376101	-4.719527
C50194539	P75082831	-4.718582
C98091800	P155914780	-4.714736
C88062526	P137750046	-4.710829
C83267836	P130159078	-4.706846
C43376366	P65601864	-4.700694
C92799609	P145297781	-4.695610
C40362617	P61274397	-4.694915
C87445867	P136802587	-4.694254
C69791155	P107540367	-4.691983
C05828092	P128165759	-4.689872
C04578981	P112129092	-4.689811
C01561259	P07945582	-4.682288
C43423581	P65690109	-4.675232
C95923249	P151026232	-4.667439
C59506286	P90579909	-4.665034
C82915337	P129630570	-4.662151
C44469494	P67171936	-4.657730
C83872281	P131208497	-4.652219
C39113939	P59254499	-4.648623
C37751076	P56135865	-4.645298
C20286182	P156342109	-4.642703
C51356228	P76951199	-4.639331
C87615186	P137068035	-4.636692
C82632200	P129134191	-4.636234
C01084855	P07324367	-4.635872
C35679899	P52962559	-4.635838
C85169846	P133261998	-4.629689
C82575973	P129060922	-4.629476
C51004195	P76349427	-4.625768
C47822425	P71595812	-4.622380
C97832325	P155280059	-4.619509
C97617862	P154764065	-4.617546
C37418582	P55631903	-4.616719
C91671276	P143506488	-4.610305
C70947907	P128809630	-4.608665
C97773409	P155153740	-4.603663
C38643687	P58506679	-4.595656
C97587580	P154676895	-4.591806
C50395723	P75386859	-4.582991
C89086820	P139339947	-4.579570
C95922221	P151020888	-4.577744
C87694178	P137171372	-4.576491
C42031446	P63624753	-4.576313
C88062048	P137749640	-4.575799
C45322001	P68287759	-4.565578
C86829149	P135918289	-4.556860
C82576096	P129060985	-4.550301
C40366517	P61281379	-4.544918
C85467239	P133776201	-4.544243
C70533423	P108804873	-4.542453
C97621240	P154764801	-4.541126
C19166970	P53131085	-4.535664
C95869685	P150893526	-4.532564
C54503976	P82019619	-4.529004
C05669319	P122489113	-4.525630
C85798425	P134352706	-4.524632
C79518003	P124270678	-4.523369
C97640698	P154806939	-4.508043
C90433636	P141417536	-4.496380
C89190689	P139492315	-4.492919
C83917955	P131300722	-4.489559
C34874693	P90744606	-4.483934
C54404494	P81861931	-4.482853
C85798264	P134352627	-4.482506
C01612596	P07653838	-4.480732
C36778321	P54653683	-4.478767
C87513557	P136883589	-4.474998
C43515613	P65814635	-4.474605
C31319449	P46145132	-4.472101
C19168263	P28303153	-4.470212
C90697913	P141866415	-4.466606
C95636648	P150389150	-4.466043
C09915899	P111277742	-4.463421
C75523971	P117554389	-4.462543
C95534816	P150162202	-4.457613
C31992616	P86628678	-4.451644
C82644253	P129155959	-4.444991
C87045598	P136260956	-4.443251
C90727446	P141907749	-4.438175
C84132545	P131645543	-4.434188
C20441619	P30506933	-4.430093
C40448205	P61401698	-4.428957
C50269940	P91555757	-4.428624
C85182506	P133303268	-4.415802
C01236370	P12545962	-4.401291
C39059495	P151021494	-4.393931
C16939872	P46811267	-4.392031
C05501770	P85200389	-4.385322
C59493440	P90563089	-4.383861
C58003917	P87342442	-4.383826
C88001858	P137647862	-4.383509
C42271757	P87779434	-4.377799
C85172004	P133262859	-4.370208
C82909345	P129612485	-4.366083
C82591648	P129083677	-4.358621
C82916559	P129632711	-4.343844
C97647104	P154815275	-4.336973
C72225679	P112211237	-4.331408
C88067605	P137750906	-4.328128
C40228782	P61083036	-4.319448
C71372386	P110391236	-4.314789
C38803766	P151018888	-4.313593
C38803740	P58769686	-4.303132
C91299939	P142817028	-4.298243
C36850793	P90345064	-4.291006
C18717275	P131855685	-4.289002
C97761753	P155131654	-4.288077
C11536079	P74672762	-4.287545
C36437532	P130761434	-4.278256
C36763891	P58578312	-4.271250
C82987404	P129754672	-4.263576
C82510425	P128945533	-4.257473
C18739352	P149102511	-4.252662
C28531649	P41966202	-4.251375
C82596055	P129090670	-4.250463
C83947683	P131340971	-4.237974
C70495500	P108751999	-4.237148
C54497495	P82014190	-4.234549
C85190617	P133299831	-4.225703
C86655371	P135660828	-4.217928
C13373498	P134222500	-4.215544
C74241079	P115716858	-4.210057
C84117862	P131638256	-4.208257
C70624786	P108953588	-4.200663
C20417407	P30428796	-4.190973
C01607176	P05730550	-4.190818
C38282056	P57853697	-4.179743
C91987417	P144000811	-4.168465
C93895763	P147157618	-4.156999
C16382953	P24774798	-4.138548
C85379802	P133639336	-4.137050
C82842415	P129491754	-4.133784
C36326126	P86577449	-4.127110
C14516428	P134522179	-4.109471
C50194441	P75082774	-4.104557
C40349624	P61251809	-4.102745
C54419245	P81887085	-4.100533
C72297334	P112365902	-4.097756
C41012614	P62260088	-4.082952
C39078638	P59214267	-4.067272
C72313242	P112387662	-4.062634
C37491501	P55758377	-4.041158
C04152201	P05310792	-4.030624
C19801101	P29402537	-4.023391
C95922224	P151021538	-4.014663
C61843660	P128730449	-4.014422
C37169667	P55272176	-4.011216
C72226568	P112212622	-4.008971
C12505096	P48658544	-4.008580
C84212117	P131816330	-4.006743
C38759430	P117559224	-4.006148
C38251012	P87937981	-3.982429
C00039527	P77070026	-3.981848
C01737540	P23999360	-3.979783
C43514538	P65814456	-3.959565
C83977188	P131377775	-3.948097
C39094985	P59234643	-3.943552
C54497591	P82017880	-3.936044
C62789402	P96350782	-3.930035
C36437531	P130761431	-3.926881
C39118106	P138006491	-3.922722
C97786166	P155186326	-3.892154
C39950027	P97167809	-3.891712
C73738921	P114858598	-3.890729
C95924454	P151032095	-3.864336
C82844521	P129492673	-3.863078
C19202003	P141423228	-3.861303
C73658704	P114715255	-3.849888
C83651566	P130859537	-3.841277
C41059448	P62324462	-3.838076
C20283868	P153655873	-3.832067
C96034659	P151250496	-3.818927
C71024810	P109615219	-3.792514
C12397092	P150528836	-3.758485
C97761317	P155115888	-3.746948
C95891368	P150946078	-3.738263
C40449126	P61405934	-3.737339
C82707466	P129264205	-3.722760
C38007993	P120930287	-3.718867
C50586414	P75655837	-3.712502
C49587762	P74060572	-3.711398
C36264814	P53889379	-3.694852
C79008569	P123355883	-3.689333
C78953608	P123234585	-3.683735
C36305538	P53957599	-3.676769
C39373033	P91080712	-3.674581
C83925146	P131294687	-3.673696
C78677401	P122772478	-3.665131
C39053143	P59168293	-3.664893
C36264756	P53889251	-3.629234
C83523757	P130642951	-3.622282
C54763106	P82433221	-3.620985
C63143169	P96955688	-3.591979
C19167104	P56654440	-3.581654
C38809856	P134917409	-3.555706
C04775726	P07275946	-3.545357
C81147639	P126701390	-3.516849
C83947682	P131340967	-3.475593
C97734251	P155041729	-3.451438
C96333752	P151988969	-3.451230
C98209915	P156180136	-3.449932
C78677345	P122772396	-3.419032
C34865858	P90661520	-3.418859
C67172119	P103192712	-3.390908
C87589505	P137000350	-3.378916
C85798269	P134352633	-3.347600
C39135257	P59285826	-3.341358
C70184805	P108186127	-3.333854
C59366433	P90271539	-3.327583
C88488803	P138408179	-3.327314
C82836052	P129489593	-3.322818
C49474209	P89064106	-3.302197
C84175605	P131725011	-3.289983
C31992616	P138009250	-3.280520
C85169106	P133261548	-3.262754
C72206524	P112174964	-3.260370
C19271336	P28481797	-3.174550
C40448188	P61401681	-3.166670
C83636283	P130840320	-3.161083
C86576571	P135535140	-3.132536
C54956955	P82741422	-3.108004
C83945111	P131322502	-3.056478
C19171869	P28313982	-3.029427
C38362819	P135037319	-3.015417
C96034658	P151250495	-2.985692
C02566799	P150451968	-2.901243
C21969276	P32695386	-2.885254
C97509079	P154480388	-2.876573
C37467081	P55708419	-2.867687
C97665270	P154881341	-2.849982
C71266836	P110163305	-2.819238
C88171488	P137890117	-2.646115
C95922800	P151023651	-2.586872
C95616413	P150349637	-2.585865
C95636640	P150389147	-2.541612
C18310963	P151024905	-2.508271
C45073360	P67936567	-2.449397
C71297163	P110220857	-2.300846
C19168368	P54306310	-2.030305
C37072976	P55109964	-1.993356
C95616414	P150349639	-1.983832
C91692967	P143547969	-1.967195
C82095284	P128109048	-1.934458
C79783087	P124652744	-1.671414
C89197721	P139498389	-1.650691
C95116282	P149156999	-1.590829
C93934857	P147229780	-1.286783
C38700903	P81224313	-0.787524
C97950844	P155523258	-0.767924
C88421206	P138299941	-0.240638
C91396858	P143009131	1.553520
